UNIT,PEST TYPE,YEAR,MONTH,PEST COUNT
RBML,Book Louse,2018,5,3
RBML,Centipede,2018,5,0
RBML,"Cockroach, American",2018,5,0
RBML,"Cockroach, German",2018,5,0
RBML,"Cockroach, Oriental",2018,5,1
RBML,Cricket,2018,5,0
RBML,"Moth, Clothes",2018,5,0
RBML,Silverfish,2018,5,0
RBML,Spider,2018,5,0
RBML,Spider- Black Widow,2018,5,0
RBML,Spider- Brown Recluse,2018,5,0
RBML,Spring Tail,2018,5,0
RBML,Termite,2018,5,0
RBML,"Wasp, Yellow Jacket",2018,5,0
RBML,Other,2018,5,2
RBML,"Bees, Honey",2018,6,0
RBML,"Beetle, Cabinet",2018,6,0
RBML,"Beetle, Carpet ",2018,6,0
RBML,"Beetle, Cigarette ",2018,6,0
RBML,"Beetle, Drugstore",2018,6,0
RBML,"Beetle, Furniture",2018,6,0
RBML,"Beetle, Ground",2018,6,0
RBML,"Beetle, Hide",2018,6,0
RBML,"Beetle, Odd",2018,6,0
RBML,"Beetle, Powder post",2018,6,0
RBML,"Beetle, Spider",2018,6,0
RBML,"Beetle, Unid.",2018,6,0
RBML,Book Louse,2018,6,1
RBML,Centipede,2018,6,0
RBML,"Cockroach, American",2018,6,0
RBML,"Cockroach, German",2018,6,0
RBML,"Cockroach, Oriental",2018,6,0
RBML,Cricket,2018,6,1
RBML,"Moth, Clothes",2018,6,0
RBML,Silverfish,2018,6,0
RBML,Spider,2018,6,0
RBML,Spider- Black Widow,2018,6,0
RBML,Spider- Brown Recluse,2018,6,0
RBML,Spring Tail,2018,6,0
RBML,Termite,2018,6,0
RBML,"Wasp, Yellow Jacket",2018,6,0
RBML,Other,2018,6,0
RBML,"Bees, Honey",2018,7,0
RBML,"Beetle, Cabinet",2018,7,1
RBML,"Beetle, Carpet ",2018,7,1
RBML,"Beetle, Cigarette ",2018,7,0
RBML,"Beetle, Drugstore",2018,7,0
RBML,"Beetle, Furniture",2018,7,0
RBML,"Beetle, Ground",2018,7,0
RBML,"Beetle, Hide",2018,7,0
RBML,"Beetle, Odd",2018,7,0
RBML,"Beetle, Powder post",2018,7,0
RBML,"Beetle, Spider",2018,7,0
RBML,"Beetle, Unid.",2018,7,0
RBML,Book Louse,2018,7,0
RBML,Centipede,2018,7,0
RBML,"Cockroach, American",2018,7,0
RBML,"Cockroach, German",2018,7,0
RBML,"Cockroach, Oriental",2018,7,0
RBML,Cricket,2018,7,0
RBML,"Moth, Clothes",2018,7,0
RBML,Silverfish,2018,7,0
RBML,Spider,2018,7,0
RBML,Spider- Black Widow,2018,7,0
RBML,Spider- Brown Recluse,2018,7,0
RBML,Spring Tail,2018,7,0
RBML,Termite,2018,7,0
RBML,"Wasp, Yellow Jacket",2018,7,0
RBML,Other,2018,7,0
RBML,"Bees, Honey",2018,8,0
RBML,"Beetle, Cabinet",2018,8,1
RBML,"Beetle, Carpet ",2018,8,0
RBML,"Beetle, Cigarette ",2018,8,0
RBML,"Beetle, Drugstore",2018,8,0
RBML,"Beetle, Furniture",2018,8,0
RBML,"Beetle, Ground",2018,8,0
RBML,"Beetle, Hide",2018,8,0
RBML,"Beetle, Odd",2018,8,0
RBML,"Beetle, Powder post",2018,8,0
RBML,"Beetle, Spider",2018,8,0
RBML,"Beetle, Unid.",2018,8,0
RBML,Book Louse,2018,8,2
RBML,Centipede,2018,8,0
RBML,"Cockroach, American",2018,8,0
RBML,"Cockroach, German",2018,8,0
RBML,"Cockroach, Oriental",2018,8,0
RBML,Cricket,2018,8,0
RBML,"Moth, Clothes",2018,8,0
RBML,Silverfish,2018,8,0
RBML,Spider,2018,8,2
RBML,Spider- Black Widow,2018,8,0
RBML,Spider- Brown Recluse,2018,8,0
RBML,Spring Tail,2018,8,1
RBML,Termite,2018,8,0
RBML,"Wasp, Yellow Jacket",2018,8,0
RBML,Other,2018,8,10
RBML,"Bees, Honey",2018,9,0
RBML,"Beetle, Cabinet",2018,9,0
RBML,"Beetle, Carpet ",2018,9,0
RBML,"Beetle, Cigarette ",2018,9,0
RBML,"Beetle, Drugstore",2018,9,0
RBML,"Beetle, Furniture",2018,9,0
RBML,"Beetle, Ground",2018,9,0
RBML,"Beetle, Hide",2018,9,0
RBML,"Beetle, Odd",2018,9,0
RBML,"Beetle, Powder post",2018,9,0
RBML,"Beetle, Spider",2018,9,0
RBML,"Beetle, Unid.",2018,9,0
RBML,Book Louse,2018,9,0
RBML,Centipede,2018,9,0
RBML,"Cockroach, American",2018,9,0
RBML,"Cockroach, German",2018,9,0
RBML,"Cockroach, Oriental",2018,9,0
RBML,Cricket,2018,9,0
RBML,"Moth, Clothes",2018,9,0
RBML,Silverfish,2018,9,0
RBML,Spider,2018,9,0
RBML,Spider- Black Widow,2018,9,0
RBML,Spider- Brown Recluse,2018,9,0
RBML,Spring Tail,2018,9,0
RBML,Termite,2018,9,0
RBML,"Wasp, Yellow Jacket",2018,9,0
RBML,Other,2018,9,0
RBML,"Bees, Honey",2018,10,0
RBML,"Beetle, Cabinet",2018,10,0
RBML,"Beetle, Carpet ",2018,10,0
RBML,"Beetle, Cigarette ",2018,10,0
RBML,"Beetle, Drugstore",2018,10,0
RBML,"Beetle, Furniture",2018,10,0
RBML,"Beetle, Ground",2018,10,0
RBML,"Beetle, Hide",2018,10,0
RBML,"Beetle, Odd",2018,10,0
RBML,"Beetle, Powder post",2018,10,0
RBML,"Beetle, Spider",2018,10,0
RBML,"Beetle, Unid.",2018,10,0
RBML,Book Louse,2018,10,0
RBML,Centipede,2018,10,0
RBML,"Cockroach, American",2018,10,0
RBML,"Cockroach, German",2018,10,0
RBML,"Cockroach, Oriental",2018,10,0
RBML,Cricket,2018,10,0
RBML,"Moth, Clothes",2018,10,0
RBML,Silverfish,2018,10,0
RBML,Spider,2018,10,0
RBML,Spider- Black Widow,2018,10,0
RBML,Spider- Brown Recluse,2018,10,0
RBML,Spring Tail,2018,10,0
RBML,Termite,2018,10,0
RBML,"Wasp, Yellow Jacket",2018,10,0
RBML,Other,2018,10,1
RBML,"Bees, Honey",2018,11,0
RBML,"Beetle, Cabinet",2018,11,0
RBML,"Beetle, Carpet ",2018,11,0
RBML,"Beetle, Cigarette ",2018,11,0
RBML,"Beetle, Drugstore",2018,11,0
RBML,"Beetle, Furniture",2018,11,0
RBML,"Beetle, Ground",2018,11,0
RBML,"Beetle, Hide",2018,11,0
RBML,"Beetle, Odd",2018,11,0
RBML,"Beetle, Powder post",2018,11,0
RBML,"Beetle, Spider",2018,11,0
RBML,"Beetle, Unid.",2018,11,0
RBML,Book Louse,2018,11,0
RBML,Centipede,2018,11,0
RBML,"Cockroach, American",2018,11,0
RBML,"Cockroach, German",2018,11,0
RBML,"Cockroach, Oriental",2018,11,0
RBML,Cricket,2018,11,0
RBML,"Moth, Clothes",2018,11,0
RBML,Silverfish,2018,11,0
RBML,Spider,2018,11,1
RBML,Spider- Black Widow,2018,11,0
RBML,Spider- Brown Recluse,2018,11,0
RBML,Spring Tail,2018,11,0
RBML,Termite,2018,11,0
RBML,"Wasp, Yellow Jacket",2018,11,0
RBML,Other,2018,11,0
RBML,"Bees, Honey",2018,12,0
RBML,"Beetle, Cabinet",2018,12,0
RBML,"Beetle, Carpet ",2018,12,0
RBML,"Beetle, Cigarette ",2018,12,0
RBML,"Beetle, Drugstore",2018,12,0
RBML,"Beetle, Furniture",2018,12,0
RBML,"Beetle, Ground",2018,12,0
RBML,"Beetle, Hide",2018,12,0
RBML,"Beetle, Odd",2018,12,0
RBML,"Beetle, Powder post",2018,12,0
RBML,"Beetle, Spider",2018,12,0
RBML,"Beetle, Unid.",2018,12,1
RBML,Book Louse,2018,12,0
RBML,Centipede,2018,12,0
RBML,"Cockroach, American",2018,12,0
RBML,"Cockroach, German",2018,12,0
RBML,"Cockroach, Oriental",2018,12,0
RBML,Cricket,2018,12,1
RBML,"Moth, Clothes",2018,12,0
RBML,Silverfish,2018,12,0
RBML,Spider,2018,12,0
RBML,Spider- Black Widow,2018,12,0
RBML,Spider- Brown Recluse,2018,12,0
RBML,Spring Tail,2018,12,0
RBML,Termite,2018,12,0
RBML,"Wasp, Yellow Jacket",2018,12,0
RBML,Other,2018,12,8
